Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
CAAG,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.9,PHI96A,100.0,,
CACAO ENANO,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 5.0,PHI96A,100.0,,
CATIE 1000,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI96A,87.0,,
CATONGO,Frosty Pod,,susceptible,,External Severety = 3.0 and Internal Severety = 4.0,PHI96A,93.0,,
CATONGO /BLANCO,Frosty Pod,,susceptible,,External Severety = 3.6 and Internal Severety = 4.9,PHI96A,100.0,,
CC 10,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.3,PHI96A,100.0,,
CC 100,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.1,PHI96A,100.0,,
CC 103,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.5,PHI96A,100.0,,
CC 107,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI96A,100.0,,
CC 124,Frosty Pod,,moderately susceptible,,External Severety = 2.0 and Internal Severety = 3.0,PHI96A,63.0,,
CC 137,Frosty Pod,,moderately susceptible,,External Severety = 2.7 and Internal Severety = 3.5,PHI96A,83.0,,
CC 139,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 5.0,PHI96A,100.0,,
CC 143,Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,100.0,,
CC 144,Frosty Pod,,susceptible,,External Severety = 2.5 and Internal Severety = 3.8,PHI96A,80.0,,
CC 152,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.5,PHI96A,92.0,,
CC 158,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.6,PHI96A,98.0,,
CC 169,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.2,PHI96A,81.0,,
CC 17,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI96A,100.0,,
CC 18,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.0,PHI96A,86.0,,
CC 182,Frosty Pod,,susceptible,,External Severety = 2.0 and Internal Severety = 3.8,PHI96A,77.0,,
CC 200,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 0.8,PHI96A,100.0,,
CC 201,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.6,PHI96A,100.0,,
CC 210,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 4.8,PHI96A,100.0,,
CC 211,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI96A,68.0,,
CC 212,Frosty Pod,,moderately susceptible,,External Severety = 3.4 and Internal Severety = 3.3,PHI96A,100.0,,
CC 213,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.8,PHI96A,75.0,,
CC 214,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.3,PHI96A,100.0,,
CC 215,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.8,PHI96A,100.0,,
CC 220,Frosty Pod,,moderately susceptible,,External Severety = 2.9 and Internal Severety = 3.6,PHI96A,90.0,,
CC 222,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 4.2,PHI96A,88.0,,
CC 223,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 5.0,PHI96A,100.0,,
CC 224,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.8,PHI96A,93.0,,
CC 225,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.5,PHI96A,100.0,,
CC 226,Frosty Pod,,susceptible,,External Severety = 3.0 and Internal Severety = 4.0,PHI96A,89.0,,
CC 228,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.8,PHI96A,68.0,,
CC 231,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.0,PHI96A,90.0,,
CC 232,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 3.9,PHI96A,100.0,,
CC 234,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.0,PHI96A,90.0,,
CC 235,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 2.0,PHI96A,91.0,,
CC 236,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.5,PHI96A,100.0,,
CC 240,Frosty Pod,,moderately susceptible,,External Severety = 2.2 and Internal Severety = 3.2,PHI96A,62.0,,
CC 241,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.7,PHI96A,92.0,,
CC 244,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.0,PHI96A,90.0,,
CC 245,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 6.0,PHI96A,84.0,,
CC 246,Frosty Pod,,moderately susceptible,,External Severety = 2.4 and Internal Severety = 3.6,PHI96A,96.0,,
CC 249,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 4.8,PHI96A,100.0,,
CC 250,Frosty Pod,,susceptible,,External Severety = 3.6 and Internal Severety = 3.8,PHI96A,100.0,,
CC 251,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.2,PHI96A,88.0,,
CC 252,Frosty Pod,,moderate resistance,,External Severety = 1.3 and Internal Severety = 1.3,PHI96A,65.0,,
CC 253,Frosty Pod,,susceptible,,External Severety = 3.6 and Internal Severety = 3.8,PHI96A,84.0,,
CC 254,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 5.0,PHI96A,86.0,,
CC 256,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 3.8,PHI96A,90.0,,
CC 265,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 4.1,PHI96A,73.0,,
CC 266,Frosty Pod,,moderately susceptible,,External Severety = 1.8 and Internal Severety = 2.8,PHI96A,74.0,,
CC 27,Frosty Pod,,moderately susceptible,,External Severety = 3.5 and Internal Severety = 3.6,PHI96A,100.0,,
CC 34,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.5,PHI96A,100.0,,
CC 35,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 5.0,PHI96A,100.0,,
CC 37,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 5.0,PHI96A,100.0,,
CC 38,Frosty Pod,,susceptible,,External Severety = 3.2 and Internal Severety = 4.2,PHI96A,94.0,,
CC 39,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 5.0,PHI96A,100.0,,
CC 40,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.7,PHI96A,100.0,,
CC 41,Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,100.0,,
CC 42,Frosty Pod,,susceptible,,External Severety = 2.7 and Internal Severety = 3.8,PHI96A,88.0,,
CC 43,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.6,PHI96A,100.0,,
CC 44,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.4,PHI96A,100.0,,
CC 45,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 4.5,PHI96A,100.0,,
CC 46,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 5.0,PHI96A,100.0,,
CC 47,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.6,PHI96A,100.0,,
CC 48,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI96A,100.0,,
CC 49,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.7,PHI96A,100.0,,
CC 52,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.5,PHI96A,100.0,,
CC 67,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.2,PHI96A,100.0,,
CC 74,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.7,PHI96A,100.0,,
CC 79,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 5.0,PHI96A,100.0,,
CC 83,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.2,PHI96A,94.0,,
CC 9,Frosty Pod,,susceptible,,External Severety = 2.8 and Internal Severety = 4.7,PHI96A,93.0,,
CNS 22 [VEN],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.4,PHI96A,92.0,,
CU 1 /2,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 5.0,PHI96A,100.0,,
CU 1 /3,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI96A,100.0,,
CU 1 /5,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
CU 1 /7,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
DIAMANTES 800,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.8,PHI96A,100.0,,
EEG 25,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI96A,100.0,,
EEG 27,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.7,PHI96A,100.0,,
EEG 29,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
EEG 48,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.4,PHI96A,100.0,,
EEG 64,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.6,PHI96A,96.0,,
EEG 65,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
EET 12 [ECU],Frosty Pod,,susceptible,,External Severety = 3.4 and Internal Severety = 5.0,PHI96A,100.0,,
EET 156 [ECU],Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 4.6,PHI96A,100.0,,
EET 162 [ECU],Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.6,PHI96A,100.0,,
EET 164 [ECU],Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI96A,100.0,,
EET 183 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 1.8 and Internal Severety = 3.5,PHI96A,100.0,,
EET 19 [ECU],Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,94.0,,
EET 228 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 1.6 and Internal Severety = 3.0,PHI96A,92.0,,
EET 250 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 2.3 and Internal Severety = 3.1,PHI96A,80.0,,
EET 376 [ECU],Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.9,PHI96A,100.0,,
EET 377 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 2.1 and Internal Severety = 3.5,PHI96A,75.0,,
EET 390 [ECU],Frosty Pod,,susceptible,,External Severety = 2.2 and Internal Severety = 4.1,PHI96A,85.0,,
EET 397 [ECU],Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 3.9,PHI96A,54.0,,
EET 399 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 1.5 and Internal Severety = 3.0,PHI96A,95.0,,
EET 41 [ECU],Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 3.9,PHI96A,96.0,,
EET 45 [ECU],Frosty Pod,,susceptible,,External Severety = 3.0 and Internal Severety = 4.0,PHI96A,96.0,,
EET 48 [ECU],Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.8,PHI96A,92.0,,
EET 53 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 2.6 and Internal Severety = 3.2,PHI96A,100.0,,
EET 59 [ECU],Frosty Pod,,susceptible,,External Severety = 3.6 and Internal Severety = 4.4,PHI96A,100.0,,
EET 62 [ECU],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.6,PHI96A,95.0,,
EET 64 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 3.7 and Internal Severety = 3.5,PHI96A,100.0,,
EET 67 [ECU],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.9,PHI96A,100.0,,
EET 75 [ECU],Frosty Pod,,moderate resistance,,External Severety = 2.0 and Internal Severety = 2.6,PHI96A,88.0,,
EET 94 [ECU],Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.4,PHI96A,88.0,,
EET 95 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 3.0 and Internal Severety = 3.4,PHI96A,93.0,,
EET 96 [ECU],Frosty Pod,,moderately susceptible,,External Severety = 2.0 and Internal Severety = 3.0,PHI96A,92.0,,
GA 11 [HAI],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 5.0,PHI96A,100.0,,
GS 17,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 5.0,PHI96A,100.0,,
GS 50,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.5,PHI96A,100.0,,
GS 7,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.8,PHI96A,100.0,,
GS 78,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
ICS 117,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 5.0,PHI96A,100.0,,
ICS 137,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.4,PHI96A,100.0,,
ICS 29,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.2,PHI96A,93.0,,
ICS 32,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.6,PHI96A,100.0,,
ICS 43,Frosty Pod,,resistant,,External Severety = 1.0 and Internal Severety = 1.2,PHI96A,100.0,,
ICS 44,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.8,PHI96A,90.0,,
ICS 6,Frosty Pod,,susceptible,,External Severety = 3.1 and Internal Severety = 4.1,PHI96A,89.0,,
ICS 95,Frosty Pod,,moderate resistance,,External Severety = 2.0 and Internal Severety = 2.0,PHI96A,72.0,,
IMC 60,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 3.8,PHI96A,100.0,,
IMC 67,Frosty Pod,,susceptible,,External Severety = 3.4 and Internal Severety = 4.4,PHI96A,100.0,,
IQ 1 [BRA],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI96A,100.0,,
JACA,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
LARANJA,Frosty Pod,,moderately susceptible,,External Severety = 2.8 and Internal Severety = 3.0,PHI96A,83.0,,
LF 2,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.7,PHI96A,100.0,,
MA 12 [BRA],Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,98.0,,
MA 13 [BRA],Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.2,PHI96A,87.0,,
MAT X PENTAGONA,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.7,PHI96A,97.0,,
MATINA,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 4.1,PHI96A,100.0,,
MEXICO 11,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 5.0,PHI96A,100.0,,
MOCORONGO,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 5.0,PHI96A,100.0,,
MUTACION UPALA,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 5.0,PHI96A,100.0,,
NA 34,Frosty Pod,,susceptible,,External Severety = 3.2 and Internal Severety = 4.4,PHI96A,92.0,,
OC 77 [VEN],Frosty Pod,,susceptible,,External Severety = 3.1 and Internal Severety = 3.8,PHI96A,93.0,,
P 10 [MEX],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
P 19 [MEX],Frosty Pod,,susceptible,,External Severety = 3.2 and Internal Severety = 4.4,PHI96A,94.0,,
P 20 [MEX],Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.9,PHI96A,100.0,,
P 22 [MEX],Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.6,PHI96A,100.0,,
P 43 [MEX],Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.1,PHI96A,97.0,,
P 8 [MEX],Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.1,PHI96A,87.0,,
PA 121 [PER],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI96A,100.0,,
PA 13 [PER],Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.0,PHI96A,92.0,,
PA 19 [PER],Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 3.8,PHI96A,88.0,,
PARA [BRA],Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 3.8,PHI96A,78.0,,
PENTAGONA 3 [CRI],Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,100.0,,
POUND 12,Frosty Pod,,susceptible,,External Severety = 2.8 and Internal Severety = 3.8,PHI96A,98.0,,
POUND 7,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 5.0,PHI96A,100.0,,
PV 4 /2 [CRI],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
RB 29 [BRA],Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 5.0,PHI96A,90.0,,
RB 37 [BRA],Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.4,PHI96A,100.0,,
RB 41 [BRA],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.7,PHI96A,100.0,,
RB 43 [BRA],Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 3.9,PHI96A,100.0,,
RB 46 [BRA],Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 5.0,PHI96A,100.0,,
RB 47 [BRA],Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 5.0,PHI96A,89.0,,
RB 49 [BRA],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.6,PHI96A,100.0,,
RIM 10 [MEX],Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.4,PHI96A,98.0,,
RIM 106 [MEX],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.7,PHI96A,100.0,,
RIM 113 [MEX],Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 3.8,PHI96A,94.0,,
RIM 117 [MEX],Frosty Pod,,moderately susceptible,,External Severety = 3.6 and Internal Severety = 3.2,PHI96A,92.0,,
RIM 13 [MEX],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.5,PHI96A,100.0,,
RIM 15 [MEX],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.4,PHI96A,100.0,,
RIM 189 [MEX],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
RIM 19 [MEX],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.7,PHI96A,100.0,,
RIM 2 [MEX],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.5,PHI96A,90.0,,
RIM 21 [MEX],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
RIM 23 [MEX],Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 3.8,PHI96A,92.0,,
RIM 34 [MEX],Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.0,PHI96A,92.0,,
RIM 43 [MEX],Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 3.8,PHI96A,100.0,,
RIM 44 [MEX],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.7,PHI96A,100.0,,
RIM 48 [MEX],Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 5.0,PHI96A,100.0,,
RIM 52 [MEX],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.6,PHI96A,96.0,,
RIM 6 [MEX],Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.5,PHI96A,97.0,,
RIM 78 [MEX],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
RIM 8 [MEX],Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.2,PHI96A,96.0,,
RIM 88 [MEX],Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SANTA CLARA 3 [CRI],Frosty Pod,,moderately susceptible,,External Severety = 2.1 and Internal Severety = 3.1,PHI96A,100.0,,
SC 5 [COL],Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.6,PHI96A,80.0,,
SCA 12,Frosty Pod,,susceptible,,External Severety = 2.4 and Internal Severety = 4.8,PHI96A,71.0,,
SCA 6,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.6,PHI96A,87.0,,
SCA 9,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.7,PHI96A,100.0,,
SCR 2,Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 4.0,PHI96A,96.0,,
SCR 4,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.6,PHI96A,100.0,,
SCR 5,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 5.0,PHI96A,100.0,,
SGU 1,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.3,PHI96A,100.0,,
SGU 2,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SGU 3,Frosty Pod,,susceptible,,External Severety = 2.8 and Internal Severety = 3.8,PHI96A,87.0,,
SGU 4,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.4,PHI96A,95.0,,
SGU 53,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SGU 60,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.2,PHI96A,97.0,,
SGU 63,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.7,PHI96A,100.0,,
SGU 67,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.1,PHI96A,100.0,,
SGU 69,Frosty Pod,,susceptible,,External Severety = 2.4 and Internal Severety = 4.2,PHI96A,93.0,,
SGU 72,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 5.0,PHI96A,90.0,,
SGU 73,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 4.2,PHI96A,88.0,,
SGU 74,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SGU 75,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 3.9,PHI96A,100.0,,
SGU 82,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.6,PHI96A,100.0,,
SGU 86,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.4,PHI96A,100.0,,
SGU 87,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 3.8,PHI96A,100.0,,
SGU 89,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SIAL 163,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.6,PHI96A,71.0,,
SIAL 169,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.8,PHI96A,100.0,,
SIAL 325,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 5.0,PHI96A,100.0,,
SIAL 339,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.3,PHI96A,86.0,,
SIAL 407,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.5,PHI96A,86.0,,
SIAL 56,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
SIAL 70,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.4,PHI96A,97.0,,
SIAL 8,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.2,PHI96A,100.0,,
SIAL 93,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 3.8,PHI96A,68.0,,
SIAL 98,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.3,PHI96A,100.0,,
SIC 329,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 4.0,PHI96A,93.0,,
SIC 433,Frosty Pod,,susceptible,,External Severety = 3.7 and Internal Severety = 4.2,PHI96A,100.0,,
SIC 6,Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI96A,97.0,,
SIC 802,Frosty Pod,,susceptible,,External Severety = 3.1 and Internal Severety = 3.8,PHI96A,100.0,,
SIC 806,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.4,PHI96A,92.0,,
SIC 813,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 4.3,PHI96A,66.0,,
SILECIA 5 [ECU],Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.7,PHI96A,97.0,,
SPA 11 [COL],Frosty Pod,,susceptible,,External Severety = 2.6 and Internal Severety = 3.8,PHI96A,71.0,,
SPA 12 [COL],Frosty Pod,,susceptible,,External Severety = 2.4 and Internal Severety = 3.8,PHI96A,82.0,,
SPA 5 [COL],Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 4.6,PHI96A,98.0,,
SPA 7 [COL],Frosty Pod,,moderate resistance,,External Severety = 1.8 and Internal Severety = 2.3,PHI96A,80.0,,
SPA 9 [COL],Frosty Pod,,moderately susceptible,,External Severety = 2.8 and Internal Severety = 3.0,PHI96A,96.0,,
TJ 1,Frosty Pod,,moderately susceptible,,External Severety = 3.2 and Internal Severety = 3.6,PHI96A,100.0,,
TSA 644,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI96A,100.0,,
TSAN 792,Frosty Pod,,susceptible,,External Severety = 2.7 and Internal Severety = 3.8,PHI96A,83.0,,
TSAN 812,Frosty Pod,,moderately susceptible,,External Severety = 2.6 and Internal Severety = 2.9,PHI96A,100.0,,
UF 11,Frosty Pod,,susceptible,,External Severety = 1.2 and Internal Severety = 4.2,PHI96A,66.0,,
UF 12,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 5.0,PHI96A,100.0,,
UF 122,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 4.8,PHI96A,100.0,,
UF 168,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.3,PHI96A,100.0,,
UF 20,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 5.0,PHI96A,100.0,,
UF 210,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 5.0,PHI96A,100.0,,
UF 221,Frosty Pod,,susceptible,,External Severety = 2.9 and Internal Severety = 4.4,PHI96A,95.0,,
UF 242,Frosty Pod,,susceptible,,External Severety = 4.3 and Internal Severety = 5.0,PHI96A,100.0,,
UF 273,Frosty Pod,,resistant,,External Severety = 1.3 and Internal Severety = 1.1,PHI96A,70.0,,
